Brand,Model,Condition,Year,Transmission,Price,Source
Toyota,Tacoma,Nigerian Used,2013,Automatic,"19,687,500",Cars45
Foreign Used,Land Rover,Foreign Used,Range Rover,Automatic,"84,375,000",Cars45
Foreign Used,Lexus,Foreign Used,RX 350,Automatic,"51,300,000",Cars45
Nigerian Used,Hyundai,Nigerian Used,Sonata,Automatic,"6,187,500",Cars45
Nigerian Used,Toyota,Nigerian Used,Corolla,Manual,"4,162,500",Cars45
Nigerian Used,Lexus,Nigerian Used,UX,Automatic,"50,625,000",Cars45
Nigerian Used,Toyota,Nigerian Used,Camry,Automatic,"2,587,500",Cars45
Peugeot,406,Nigerian Used,2000,Manual,"2,587,500",Cars45
Toyota,Sienna,Nigerian Used,1999,Automatic,"2,362,500",Cars45
Nigerian Used,Toyota,Nigerian Used,Corolla,Automatic,"32,625,000",Cars45
Nigerian Used,Lexus,Nigerian Used,RX,Automatic,"2,790,000",Cars45
Foreign Used,Lexus,Foreign Used,RX 350,Automatic,"22,500,000",Cars45
Nigerian Used,Honda,Nigerian Used,Civic,Automatic,"4,500,000",Cars45
Nigerian Used,Kia,Nigerian Used,Optima,Automatic,"6,187,500",Cars45
Nigerian Used,Toyota,Nigerian Used,Corolla,Automatic,"4,725,000",Cars45
Nigerian Used,Toyota,Nigerian Used,Camry,Automatic,"4,500,000",Cars45
Nigerian Used,Acura,Nigerian Used,TL,Automatic,"7,875,000",Cars45
Nigerian Used,Ford,Nigerian Used,Edge,Automatic,"5,166,000",Cars45
Nigerian Used,Toyota,Nigerian Used,Sequoia,Automatic,"22,500,000",Cars45
Nigerian Used,Toyota,Nigerian Used,Corolla,Automatic,"3,780,000",Cars45
Toyota,Venza,Nigerian Used,2009,Automatic,"10,518,750",Cars45
Nigerian Used,Toyota,Nigerian Used,Venza,Automatic,"12,168,281",Cars45
Nigerian Used,Toyota,Nigerian Used,Camry,Automatic,"3,937,500",Cars45
Nigerian Used,Lexus,Nigerian Used,RX 350,Automatic,"9,562,500",Cars45
Nigerian Used,Toyota,Nigerian Used,Highlander,Automatic,"12,150,000",Cars45
Nigerian Used,Acura,Nigerian Used,MDX,Automatic,"2,925,000",Cars45
Nigerian Used,Peugeot,Nigerian Used,406,Manual,"3,375,000",Cars45
Nigerian Used,Toyota,Nigerian Used,Corolla,Automatic,"4,050,000",Cars45
Nigerian Used,Volkswagen,Nigerian Used,Passat,Automatic,"4,725,000",Cars45
Nigerian Used,Peugeot,Nigerian Used,406,Manual,"3,262,500",Cars45
Toyota,Corolla,Foreign Used,2015,Automatic,"13,015,000",AutoChek
Land,Rover Range Rover Autobiography,Foreign Used,2020,Automatic,"125,015,000",AutoChek
Toyota,Corolla,Foreign Used,2015,Automatic,"15,515,000",AutoChek
Land,Rover HSE LR4,Local Used,2010,Automatic,"15,515,000",AutoChek
Toyota,RAV 4,Local Used,2015,Automatic,"12,815,000",AutoChek
Hyundai,"SONATA 2,0L BVA / Cuir Luxury",Foreign Used,2014,Automatic,"9,315,000",AutoChek
Toyota,Camry,Foreign Used,2012,Automatic,"9,115,000",AutoChek
Toyota,Camry,Local Used,2010,Automatic,"6,015,000",AutoChek
Lexus,RX 350,Local Used,2015,Automatic,"14,615,000",AutoChek
Lexus,RX 350,Foreign Used,2008,Automatic,"13,015,000",AutoChek
Toyota,Corolla,Foreign Used,2015,Automatic,"13,515,000",AutoChek
Toyota,Camry,Local Used,2001,Automatic,"3,515,000",AutoChek
Mercedes-Benz,C 300,Foreign Used,2016,Automatic,"27,015,000",AutoChek
Hyundai,Santa Fe,Foreign Used,2021,Automatic,"27,515,000",AutoChek
Hyundai,Sonata,Foreign Used,2017,Automatic,"16,815,000",AutoChek
Toyota,Camry,Foreign Used,2014,Automatic,"13,515,000",AutoChek
Toyota,Highlander,Foreign Used,2015,Automatic,"36,015,000",AutoChek
Lexus,RX 350,Foreign Used,2010,Automatic,"17,215,000",AutoChek
Toyota,RAV 4,Foreign Used,2015,Automatic,"20,015,000",AutoChek
Toyota,RAV 4,Foreign Used,2015,Automatic,"20,015,000",AutoChek
Toyota,Corolla,Local Used,2007,Automatic,"6,665,000",AutoChek
Toyota,Sienna,Foreign Used,2007,Automatic,"7,815,000",AutoChek
Hyundai,Santa Fe,Foreign Used,2020,Automatic,"35,515,000",AutoChek
Toyota,Highlander,Foreign Used,2015,Automatic,"28,515,000",AutoChek
Toyota,Highlander,Foreign Used,2015,Automatic,"35,015,000",AutoChek
Toyota,Camry,Foreign Used,2012,Automatic,"9,415,000",AutoChek
Mercedes-Benz,E 350,Local Used,2010,Automatic,"17,515,000",AutoChek
Toyota,Corolla,Foreign Used,2015,Automatic,"12,315,000",AutoChek
Jeep,Compass,Foreign Used,2021,Automatic,"20,015,000",AutoChek
Mercedes-Benz,E 350,Local Used,2010,Automatic,"10,815,000",AutoChek
Hyundai,Sonata,Foreign Used,2018,Automatic,"20,015,000",AutoChek
Acura,MDX,Foreign Used,2011,Automatic,"15,515,000",AutoChek
Acura,MDX,Foreign Used,2008,Automatic,"11,015,000",AutoChek
Mercedes-Benz,GLE 350,Foreign Used,2016,Automatic,"44,015,000",AutoChek
KIA,Sorento EX,Foreign Used,2014,Automatic,"9,515,000",AutoChek
Toyota,Tacoma,Foreign Used,2017,Manual,"31,115,000",AutoChek
Lexus,ES 350,Local Used,2010,Automatic,"8,265,000",AutoChek
Toyota,Hiace,Foreign Used,2017,Automatic,"17,215,000",AutoChek
Toyota,Sienna,Foreign Used,2005,Automatic,"7,815,000",AutoChek
Toyota,Sienna,Foreign Used,2005,Automatic,"7,115,000",AutoChek
Lexus,IS 250,Foreign Used,2011,Automatic,"11,515,000",AutoChek
Lexus,IS 250,Local Used,2011,Automatic,"11,415,000",AutoChek
Toyota,Corolla,Foreign Used,2015,Automatic,"14,015,000",AutoChek
Toyota,RAV 4,Foreign Used,2015,Automatic,"16,315,000",AutoChek
Mercedes-Benz,E 350,Foreign Used,2010,Automatic,"9,515,000",AutoChek
Toyota,Sienna,Foreign Used,2004,Automatic,"8,015,000",AutoChek
Toyota,Sienna,Foreign Used,2005,Automatic,"8,015,000",AutoChek
Mercedes-Benz,GLE 350,Foreign Used,2016,Automatic,"45,515,000",AutoChek
Toyota,Corolla,Foreign Used,2008,Automatic,"8,951,250",BetaCars
Toyota,Camry,Foreign Used,2007,Automatic,"9,250,000",BetaCars
Toyota,Camry,Foreign Used,2008,Automatic,"9,825,300",BetaCars
Toyota,Matrix,Foreign Used,2009,Automatic,"9,841,125",BetaCars
Pontiac,Vibe,Foreign Used,2009,Automatic,"9,841,125",BetaCars
Pontiac,Vibe,Foreign Used,2009,Automatic,"9,841,125",BetaCars
Toyota,Corolla,Foreign Used,2010,Automatic,"10,301,125",BetaCars
Toyota,Corolla,Foreign Used,2010,Automatic,"10,301,125",BetaCars
Toyota,Corolla,Foreign Used,2010,Automatic,"10,301,125",BetaCars
Toyota,Camry,Foreign Used,2009,Automatic,"10,301,125",BetaCars
Toyota,Camry,Foreign Used,2009,Automatic,"10,301,125",BetaCars
Toyota,Matrix,Foreign Used,2010,Automatic,"10,301,125",BetaCars
Toyota,Matrix,Foreign Used,2010,Automatic,"10,301,125",BetaCars
Lexus,IS,Foreign Used,2007,Automatic,"10,327,500",BetaCars
Lexus,IS,Foreign Used,2007,Automatic,"10,327,500",BetaCars
Honda,Accord,Foreign Used,2010,Automatic,"10,588,500",BetaCars
Honda,Accord,Foreign Used,2010,Automatic,"10,588,500",BetaCars
