,Car Id,Scraped Date,Brand,Model,Condition,Year,Transmission,Fuel,Colour,Location,Mileage,Engine Type,Price
0,https://www.cars45.com/jEY4wdZBsKvsHWj0gHQA2Rt83hVYrG1,2024-06-18,Toyota,Camry,Nigerian Used,2004,Automatic,Petrol,Gold,Rivers State,140565 km,V4,"2,730,000"
1,https://www.cars45.com/jEY4wdZTAqatXmPpWayKnhInidhJDwI,2024-06-18,Mercedes-Benz,M,Nigerian Used,2003,Automatic,Petrol,Silver,Lagos State,141937 km,V8,"3,150,000"
2,https://www.cars45.com/jEY4wdZh6XkU4zvb0v3xDPji5qltx53,2024-06-18,Mercedes-Benz,GLE-Class,Foreign Used,2020,Automatic,Petrol,Gray,Abuja (FCT),71430 km,V6,"116,480,000"
3,https://www.cars45.com/jEY4wdZQtfQlUJc0RQC26W88nuy6FIc,2024-06-18,Hyundai,Elantra,Nigerian Used,2009,Automatic,Petrol,Black,Lagos State,153459 km,V4,"5,775,000"
4,https://www.cars45.com/jEY4we00yxA37cuHx2MniX13tnD7Sl8,2024-06-18,Honda,CR-V,Nigerian Used,2019,Automatic,Petrol,Black,Lagos State,59075 km,V4,"26,250,000"
5,https://www.cars45.com/jEY4wdZz39VLj8zmh76k1ykRvERERGZ,2024-06-18,Nissan,Rogue,Nigerian Used,2008,CVT,Petrol,Gray,Abuja (FCT),193677 km,V4,"5,775,000"
6,https://www.cars45.com/jEY4wdZLXT1LdeFeXFjqis9JFVxUuaN,2024-06-18,Infiniti,FX35,Nigerian Used,2003,Automatic,Petrol,Gold,Edo State,237314 km,V6,"2,625,000"
7,https://www.cars45.com/jEY4wdZHIUllTkDwWAW2lnM8FQ1DoEv,2024-06-18,Dodge,Caliber,Nigerian Used,2007,Automatic,Petrol,Green,Lagos State,59590 km,V4,"3,990,000"
8,https://www.cars45.com/jEY4wdZU7LhE0v5PwrmadvXX5L1Rk1e,2024-06-18,Toyota,RAV4,Nigerian Used,2010,Automatic,Petrol,Blue,Lagos State,78440 km,V6,"5,775,000"
9,https://www.cars45.com/jEY4wdZNeqwfcaqpNuAiNSRhSg2tTIc,2024-06-18,Toyota,Camry,Nigerian Used,1999,Automatic,Petrol,Black,Rivers State,297424 km,V4,"1,260,000"
10,https://www.cars45.com/jEY4wdZv9w5EVo2v5oNmmc3tHDPnl5B,2024-06-18,Toyota,Corolla,Nigerian Used,2004,Automatic,Petrol,Black,Lagos State,217214 km,V4,"3,123,750"
11,https://www.cars45.com/jEY4wdZttaq2PDakAk9Jgu4RPC7dp06,2024-06-18,Lexus,ES,Foreign Used,2013,Automatic,Petrol,Blue,Lagos State,268711 km,V6,"23,400,000"
12,https://www.cars45.com/jEY4wdZTJDfJw8cLiwTdU5hfRZjBqFf,2024-06-18,Kia,Sorento,Nigerian Used,2012,Automatic,Petrol,Gray,Lagos State,112871 km,V6,"5,775,000"
13,https://www.cars45.com/jEY4wdZTQLVO8Bj0HnEfqo4WCMtzysX,2024-06-18,Ford,Edge,Nigerian Used,2014,Automatic,Petrol,Blue,Lagos State,209838 km,V8,"8,400,000"
